time,user_name,user_color,message
129,guroo_,#0000FF,"jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM"
129,mug9n,#B22222,"nweroJam EDM nu nweroJam EDM nu nweroJam EDM nu nweroJam EDM nu nweroJam EDM nu nweroJam EDM nu nweroJam EDM nu"
129,czadymny,#FF0000,"jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM"
130,stany_d,#FF4500,"bah"
130,mousbox,#1E90FF,"vedalNURU vedalCheer vedalNURU"
131,bruhmoment122,#8A2BE2,"vedalCheer vedalCheer"
131,darksushi810,#1E90FF,"EDM Shiza EDM"
131,nakirium_n,#00FF7F,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
131,espie2923,,"Espie2923 subscribed at Tier 1. They've subscribed for 3 months, currently on a 2 month streak! vedalCheer"
131,yoshifan007,#008000,"OO EE UU AH AH"
131,philipsdrew,,"nu mhm"
132,heksenmeester,#8A2BE2,"vedalCheer vedalHeart vedalNURU vedalWave"
133,limezmusic,#9ACD32,"juh"
133,shadowviper55,#1E90FF,"vedalCheer"
